"2007","Num studies:1","","2008","Num studies:1","","2014","Num studies:1","","2016","Num studies:4","","2017","Num studies:2","","2018","Num studies:4","","2019","Num studies:6","","2020","Num studies:9","","2021","Num studies:13","","2022","Num studies:10",""
"peripheral",1,"0.199203187250996%","predictive",1,"0.7299270072992701%","suggest",1,"0.5813953488372093%","controls",3,"0.239251040221914%","from",2,"0.2794148879685675%","analyze",2,"0.11990407673860912%","peripheral",2,"0.16260162601626016%","compared",7,"0.11866030905680426%","project",7,"0.2512770551967493%","assessments",7,"0.27880706650975656%"
"cases",1,"0.199203187250996%","ability",1,"0.7299270072992701%","people",1,"0.5813953488372093%","related",3,"0.239251040221914%","diffusion",2,"0.17123287671232876%","prior",2,"0.11990407673860912%","mechanism",2,"0.16260162601626016%","clinical",7,"0.1353318982382662%","test",7,"0.2704883360763651%","engagement",7,"0.2958959078862653%"
"skeletal",1,"0.199203187250996%","test",1,"0.7299270072992701%","elevated",1,"0.5813953488372093%","at",3,"0.239251040221914%","aging",2,"0.17123287671232876%","has",2,"0.11990407673860912%","s",2,"0.16260162601626016%","phase",7,"0.14971454762030678%","evaluate",7,"0.2785451542740358%","use",7,"0.1999659443712748%"
"muscle",1,"0.199203187250996%","","","","levels",1,"0.5813953488372093%","studies",3,"0.21064493758668518%","lesions",2,"0.17123287671232876%","using",2,"0.12505620503597123%","underlying",2,"0.16260162601626016%","3",7,"0.13643040697041198%","well",7,"0.30670951090320286%","subject",7,"0.1590153027278776%"
"strives",1,"0.199203187250996%","","","","are",1,"0.5813953488372093%","changes",3,"0.239251040221914%","have",2,"0.17123287671232876%","results",2,"0.14645722868072325%","slowly",2,"0.16260162601626016%","project",7,"0.1608015486062705%","how",7,"0.1683790944665674%","episodic",7,"0.23809523809523808%"
"advance",1,"0.199203187250996%","","","","increased",1,"0.5813953488372093%","biomarkers",3,"0.21064493758668518%","slower",2,"0.17123287671232876%","conditions",2,"0.12505620503597123%","progressive",2,"0.16995329527763361%","version",7,"0.11991979700502083%","age",7,"0.1766413249666838%","program",7,"0.22006798438876998%"
"knowledge",1,"0.199203187250996%","","","","decline",1,"0.5813953488372093%","deposition",3,"0.1820388349514563%","aâ",2,"0.17123287671232876%","cohort",2,"0.11990407673860912%","over",2,"0.22375095545827253%","stimulation",6,"0.2841387945772833%","investigators",7,"0.24523674778343707%","patient",7,"0.08383233532934131%"
"memory",1,"0.199203187250996%","","","","but",1,"0.5813953488372093%","healthy",3,"0.1820388349514563%","also",2,"0.17123287671232876%","established",2,"0.11990407673860912%","series",2,"0.15132882421261187%","randomized",6,"0.17463053826999822%","develop",7,"0.08737291374677217%","aβ",6,"0.07575757575757576%"
"disorders",1,"0.199203187250996%","","","","does",1,"0.5813953488372093%","who",3,"0.1820388349514563%","change",2,"0.2794148879685675%","center",2,"0.11990407673860912%","changes",2,"0.16260162601626016%","apnea",6,"0.1382499929011557%","patients",7,"0.13449240678214994%","imaging",6,"0.08334577300094541%"
"donations",1,"0.199203187250996%","","","","not",1,"0.5813953488372093%","conversion",3,"0.1820388349514563%","phosphorylated",2,"0.17123287671232876%","collection",2,"0.11990407673860912%","biomarkers",2,"0.16104562959505195%","5",6,"0.12406768234353639%","system",7,"0.08235279731586835%","between",6,"0.16422933677837975%"
"are",1,"0.199203187250996%","","","","mean",1,"0.5813953488372093%","e",3,"0.1820388349514563%","spinal",2,"0.17123287671232876%","testing",2,"0.11990407673860912%","markers",2,"0.16995329527763361%","severe",6,"0.14652014652014653%","team",7,"0.10506129003667072%","over",6,"0.17001724042814276%"
"needed",1,"0.199203187250996%","","","","every",1,"0.5813953488372093%","g",3,"0.1820388349514563%","fluid",2,"0.17123287671232876%","from",2,"0.14645722868072325%","evaluates",2,"0.22375095545827253%","receive",6,"0.12477503599206652%","functional",7,"0.21366736808828962%","specific",6,"0.07510736103550475%"
"healthy",1,"0.199203187250996%","","","","person",1,"0.5813953488372093%","on",3,"0.1820388349514563%","but",2,"0.17123287671232876%","all",2,"0.14645722868072325%","knight",2,"0.16260162601626016%","sleep",6,"0.12170968566317403%","control",7,"0.1759660846194641%","drug",6,"0.26394408332734326%"
"those",1,"0.199203187250996%","","","","develop",1,"0.5813953488372093%","symptoms",3,"0.1820388349514563%","process",2,"0.17123287671232876%","scan",2,"0.11990407673860912%","center",2,"0.16104562959505195%","both",6,"0.1637940513890347%","model",7,"0.059776398793449946%","architecture",6,"0.07575757575757576%"
"affected",1,"0.199203187250996%","","","","ad",1,"0.5813953488372093%","mci",3,"0.1820388349514563%","relationship",2,"0.17123287671232876%","underlying",2,"0.11990407673860912%","when",2,"0.19094993581514763%","12",6,"0.1823321887139867%","quality",7,"0.24031675686125337%","completed",6,"0.20514602269782908%"
"system",1,"0.199203187250996%","","","","","","","done",2,"0.25252525252525254%","csf",2,"0.17123287671232876%","we",2,"0.12505620503597123%","during",2,"0.19094993581514763%","burdensome",6,"0.1443001443001443%","allow",7,"0.14390500918578303%","last",6,"0.1981301962987428%"
"school",1,"0.199203187250996%","","","","","","","called",2,"0.25252525252525254%","pet",2,"0.17123287671232876%","occur",2,"0.14645722868072325%","structural",2,"0.16995329527763361%","life",6,"0.15143559375217272%","antipsychotic",7,"0.15297202797202797%","interventions",6,"0.1507878279705132%"
"medicine",1,"0.199203187250996%","","","","","","","used",2,"0.1869422379131117%","characteristics",2,"0.17123287671232876%","approach",2,"0.12505620503597123%","pet",2,"0.1683972988564254%","there",6,"0.1736639960536519%","palliative",7,"0.1929969671905156%","measured",6,"0.11596441593741424%"
"public",1,"0.199203187250996%","","","","","","","1",2,"0.1869422379131117%","ad",2,"0.17123287671232876%","work",2,"0.11990407673860912%","imaging",2,"0.1683972988564254%","primary",6,"0.17172224330936872%","complete",7,"0.053431038117380605%","participation",6,"0.16251587707209114%"
"health",1,"0.199203187250996%","","","","","","","amount",2,"0.1869422379131117%","abnormalities",2,"0.17123287671232876%","et",2,"0.11990407673860912%","ethnic",2,"0.1773049645390071%","if",6,"0.1664711964531916%","approach",7,"0.02700408919064887%","control",6,"0.11152010259365838%"
"considered",1,"0.199203187250996%","","","","","","","plaques",2,"0.1869422379131117%","development",2,"0.17123287671232876%","al",2,"0.11990407673860912%","mri",2,"0.1683972988564254%","effect",6,"0.1309763820717264%","traditional",7,"0.02700408919064887%","their",6,"0.09691727655799512%"
"investigator-initiated",1,"0.199203187250996%","","","","","","","elderly",2,"0.2287216426560689%","vessels",2,"0.17123287671232876%","other",2,"0.14645722868072325%","cerebrovascular",2,"0.1683972988564254%","than",6,"0.09424028463677984%","recognition",7,"0.02700408919064887%","app",6,"0.40816326530612246%"
"project",1,"0.199203187250996%","","","","","","","biomarker",2,"0.1869422379131117%","increases",2,"0.17123287671232876%","period",2,"0.14645722868072325%","degeneration",2,"0.1773049645390071%","following",6,"0.15326508434051764%","information",6,"0.2243348960589816%","palliative",6,"0.0718562874251497%"
"it",1,"0.199203187250996%","","","","","","","participants",2,"0.1869422379131117%","within",2,"0.17123287671232876%","acquisition",2,"0.11990407673860912%","frontotemporal",2,"0.23110262471964602%","visit",6,"0.09080493393788698%","such",6,"0.06535035784460706%","sm-eold",6,"0.0718562874251497%"
"was",1,"0.199203187250996%","","","","","","","18f-florbetaben",2,"0.25252525252525254%","well",2,"0.17123287671232876%","30",2,"0.12505620503597123%","support",2,"0.1683972988564254%","each",6,"0.11776732014017238%","different",6,"0.14032666312860187%","based",5,"0.06313131313131312%"
"first",1,"0.199203187250996%","","","","","","","number",2,"0.2287216426560689%","independent",2,"0.17123287671232876%","into",2,"0.12505620503597123%","amount",2,"0.1983016050765211%","antipsychotic",6,"0.07861635220125786%","university",6,"0.1793307565188544%","tau",5,"0.06313131313131312%"
"established",1,"0.199203187250996%","","","","","","","amyloid-positive",2,"0.25252525252525254%","those",2,"0.17123287671232876%","18",2,"0.14645722868072325%","detecting",2,"0.1773049645390071%","bpsd",6,"0.07861635220125786%","into",6,"0.25544513117401274%","pet-mr",5,"0.06313131313131312%"
"1995",1,"0.199203187250996%","","","","","","","normal",2,"0.25252525252525254%","microvascular",2,"0.17123287671232876%","visit",2,"0.11990407673860912%","have",2,"0.1683972988564254%","sessions",6,"0.11562458080579309%","design",6,"0.15645936267971866%","central",5,"0.09305824199441222%"
"teaching",1,"0.199203187250996%","","","","","","","cognition",2,"0.25252525252525254%","mismatch",2,"0.17123287671232876%","4",2,"0.14645722868072325%","there",2,"0.1683972988564254%","specific",6,"0.12191297430647542%","efficacy",6,"0.25953576635865444%","than",5,"0.15424709390226632%"
"2009",1,"0.199203187250996%","","","","","","","amyloid-negative",2,"0.25252525252525254%","microcirculation",2,"0.17123287671232876%","u",2,"0.13020833333333334%","prevention",2,"0.1594896331738437%","has",5,"0.16466291419302204%","number",6,"0.14263713502878364%","4",5,"0.08559144337587452%"
"aligned",1,"0.199203187250996%","","","","","","","4",2,"0.1869422379131117%","open",2,"0.3875968992248062%","s",2,"0.13020833333333334%","dpp",2,"0.1594896331738437%","older",5,"0.1851428042622573%","including",6,"0.11743488981422878%","effect",5,"0.09640017078985297%"
"itself",1,"0.199203187250996%","","","","","","","marker",2,"0.1869422379131117%","label",2,"0.3875968992248062%","rapidly",2,"0.13020833333333334%","sites",2,"0.14977282779140363%","effects",5,"0.15288628812843708%","but",6,"0.05925277421584525%","10",5,"0.1587199423889166%"
"goals",1,"0.199203187250996%","","","","","","","csf",2,"0.1869422379131117%","evaluate",2,"0.3875968992248062%","growing",2,"0.13020833333333334%","columbia",2,"0.1594896331738437%","potential",5,"0.21276853345301616%","4",6,"0.12741614970589285%","identify",5,"0.06497476758678493%"
"more",1,"0.199203187250996%","","","","","","","tau",2,"0.21554834054834054%","longer",2,"0.3875968992248062%","aging",2,"0.13020833333333334%","10",2,"0.1594896331738437%","function",5,"0.1658182967487734%","during",6,"0.1345952366428271%","also",5,"0.07451360899636762%"
"effectively",1,"0.199203187250996%","","","","","","","inflammatory",2,"0.2287216426560689%","term",2,"0.3875968992248062%","seeks",2,"0.13020833333333334%","persons",2,"0.1594896331738437%","two",5,"0.18841512038706648%","patient",6,"0.12765268447086628%","extension",5,"0.20623266438244414%"
"result",1,"0.199203187250996%","","","","","","","an",2,"0.16313862804392806%","tolerability",2,"0.3875968992248062%","determine",2,"0.13020833333333334%","all",2,"0.14977282779140363%","also",5,"0.1238591911289933%","g",6,"0.0784950702886328%","phase",5,"0.21024914688800714%"
"part",1,"0.199203187250996%","","","","","","","population",2,"0.20491803278688525%","early",2,"0.3875968992248062%","non",2,"0.13020833333333334%","conducted",2,"0.1594896331738437%","research",5,"0.10933546865844314%","classification",6,"0.0351818328475573%","monitoring",5,"0.20623266438244414%"
"nationwide",1,"0.199203187250996%","","","","","","","more",2,"0.20491803278688525%","efficacy",2,"0.3875968992248062%","whites",2,"0.13020833333333334%","eligible",2,"0.14977282779140363%","15",5,"0.110782823046974%","home",6,"0.2016621371460081%","before",5,"0.10843268137697845%"
"network",1,"0.199203187250996%","","","","","","","people",2,"0.20491803278688525%","baseline",2,"0.3875968992248062%","status",2,"0.15160935697808536%","hyperinsulinemia",2,"0.1594896331738437%","mild",5,"0.13926992157654502%","implementation",6,"0.11511793029574721%","functional",5,"0.12159811894559905%"
"adc",1,"0.199203187250996%","","","","","","","including",2,"0.19174473067915693%","target",2,"0.3875968992248062%","among",2,"0.13020833333333334%","both",2,"0.18939393939393942%","all",5,"0.11096495697666009%","enable",6,"0.18571652715806675%","compared",5,"0.12547884003505408%"
"funded",1,"0.199203187250996%","","","","","","","expected",2,"0.20491803278688525%","mesial",2,"0.3875968992248062%","burden",2,"0.13020833333333334%","these",2,"0.18939393939393942%","plasma",5,"0.09728966124314961%","while",6,"0.13880040591167123%","3",5,"0.10255097956617994%"
"institute",1,"0.199203187250996%","","","","","","","2050",2,"0.20491803278688525%","lobe",2,"0.3875968992248062%","mental",2,"0.13020833333333334%","insulin",2,"0.1594896331738437%","aβ42",5,"0.11382996848113128%","reduce",6,"0.14827242649823294%","participate",5,"0.1702827087442472%"
"aging",1,"0.199203187250996%","","","","","","","well",2,"0.16313862804392806%","targeting",2,"0.3875968992248062%","physical",2,"0.13020833333333334%","such",2,"0.14977282779140363%","aβ40",5,"0.11382996848113128%","adrd-pc",6,"0.16542597187758476%","presma",5,"0.17006802721088435%"
"that",1,"0.199203187250996%","","","","","","","not",2,"0.16313862804392806%","include",2,"0.3875968992248062%","develop",2,"0.13020833333333334%","data",2,"0.1594896331738437%","amyloid",5,"0.2710622710622711%","aim",6,"0.11799943530619429%","dacc",5,"0.17006802721088435%"
"exists",1,"0.199203187250996%","","","","","","","several",2,"0.20491803278688525%","reference",2,"0.3875968992248062%","needs",2,"0.13020833333333334%","studies",2,"0.1594896331738437%","ahi",5,"0.09728966124314961%","5",6,"0.04685963044910856%","support",5,"0.12103452669129826%"
"however",1,"0.199203187250996%","","","","","","","barrier",2,"0.20491803278688525%","fiducials",2,"0.3875968992248062%","well",2,"0.13020833333333334%","beneficial",2,"0.1594896331738437%","surgery",5,"0.12210012210012211%","programs",6,"0.023146362163413318%","snf",5,"0.05988023952095808%"
"operates",1,"0.199203187250996%","","","","","","","those",2,"0.16313862804392806%","based",2,"0.3875968992248062%","members",2,"0.13020833333333334%","effects",2,"0.14977282779140363%","without",5,"0.18280852564866482%","principles",6,"0.023146362163413318%","trial",5,"0.09509974134571095%"
"independent",1,"0.199203187250996%","","","","","","","onset",2,"0.16313862804392806%","mri",2,"0.3875968992248062%","who",2,"1.1067708333333335%","disruption",2,"0.2192982456140351%","examinations",5,"0.12210012210012211%","interaction",6,"0.023146362163413318%","posv2",5,"0.05988023952095808%"
"under",1,"0.199203187250996%","","","","","","","most",2,"0.16313862804392806%","tcd",2,"0.3875968992248062%","20",2,"0.15160935697808536%","adults",2,"0.2192982456140351%","risk",5,"0.09316516179046185%","who",5,"0.17593157636600296%","satisfaction",5,"0.05988023952095808%"
"direction",1,"0.199203187250996%","","","","","","","age-matched",2,"0.17857142857142858%","waveform",2,"0.3875968992248062%","years",2,"0.15160935697808536%","decline",2,"0.2192982456140351%","decline",5,"0.17899629062204325%","provide",5,"0.13007696255459347%","music-based",5,"0.14792899408284024%"
"principal",1,"0.199203187250996%","","","","","","","control",2,"0.17857142857142858%","undergo",2,"0.3875968992248062%","assessment",2,"0.15160935697808536%","tool",2,"0.17967713401149935%","early",5,"0.12210012210012211%","has",5,"0.0614926308173715%","evaluation",4,"0.05050505050505051%"
"provides",1,"0.199203187250996%","","","","","","","follow-ups",2,"0.17857142857142858%","at",2,"0.3875968992248062%","behavior",2,"0.15160935697808536%","present",2,"0.2192982456140351%","stage",5,"0.09946552399382587%","these",5,"0.0614926308173715%","vascular",4,"0.05050505050505051%"
"access",1,"0.199203187250996%","","","","","","","extensive",2,"0.17857142857142858%","upon",2,"0.3875968992248062%","adults",2,"0.15160935697808536%","aims",2,"0.17967713401149935%","can",5,"0.14105462924360562%","impact",5,"0.16737852542937287%","living",4,"0.11415300685293348%"
"indefinitely-stored",1,"0.199203187250996%","","","","","","","tesla",2,"0.17857142857142858%","project",1,"0.08561643835616438%","bone",2,"0.17301038062283736%","closed-loop",2,"0.2192982456140351%","used",5,"0.08901950762415879%","risk",5,"0.24052031467285703%","years",4,"0.07189239332096475%"
"post-mortem",1,"0.199203187250996%","","","","","","","magnetic",2,"0.17857142857142858%","provide",1,"0.08561643835616438%","marrow",2,"0.17301038062283736%","waves",2,"0.2192982456140351%","compare",5,"0.09387251543899196%","aging",5,"0.2653308630115053%","no",4,"0.04920462106090849%"
