"2005","Num studies:1","","2006","Num studies:1","","2008","Num studies:4","","2009","Num studies:3","","2010","Num studies:1","","2011","Num studies:1","","2012","Num studies:2","","2013","Num studies:3","","2014","Num studies:2","","2015","Num studies:3","","2016","Num studies:4","","2017","Num studies:4","","2018","Num studies:4","","2019","Num studies:9","","2020","Num studies:7","","2021","Num studies:3","","2022","Num studies:3","","2023","Num studies:1","","2025","Num studies:1","","No Start Date","Num studies:2",""
"phase",3,"0.5639097744360902%","impact",1,"0.7936507936507936%","nerve",4,"0.23696682464454977%","non-alzheimer",2,"0.21645021645021645%","","","","therapy",1,"1.694915254237288%","may",1,"0.49019607843137253%","clinic",3,"0.3261087698173791%","family",1,"0.37593984962406013%","previously",2,"0.7384915279652122%","protocol",5,"0.16490765171503957%","glucose",3,"0.25773195876288657%","data",5,"0.21929824561403508%","change",7,"0.2001878967250168%","different",5,"0.335345405767941%","history",3,"0.31753952906719424%","therapeutic",3,"0.5128205128205129%","beta",1,"0.49504950495049505%","information",1,"0.6369426751592356%","compared",2,"0.4807692307692308%"
"which",3,"0.5639097744360902%","improvements",1,"0.7936507936507936%","apoptotic",4,"0.23696682464454977%","from",2,"0.5411255411255411%","","","","standard",1,"1.694915254237288%","prodromal",1,"0.49019607843137253%","partners",3,"0.27342966084687936%","self-management",1,"0.37593984962406013%","during",2,"0.1949317738791423%","an",5,"0.16490765171503957%","risk",3,"0.25773195876288657%","between",4,"0.252868627591307%","impairment",7,"0.1988606968770508%","hb-admscs",4,"0.25396825396825395%","medication",3,"0.2557544757033248%","is",3,"0.5597452656276185%","people",1,"0.49504950495049505%","caregiver",1,"0.6369426751592356%","mild",2,"0.4807692307692308%"
"group",3,"0.5639097744360902%","on",1,"0.7936507936507936%","leukocytes",4,"0.23696682464454977%","onset",2,"0.21645021645021645%","","","","care",1,"1.694915254237288%","form",1,"0.49019607843137253%","research",3,"0.3261087698173791%","persons",1,"0.37593984962406013%","project",2,"0.1949317738791423%","intervention",5,"0.5813953488372093%","ad",3,"0.25773195876288657%","process",4,"0.28566998258546245%","mg",6,"0.09195402298850575%","evaluate",4,"0.25754527162977864%","2",3,"0.31753952906719424%","have",3,"0.45064801367322377%","mild",1,"0.49504950495049505%","input",1,"0.6369426751592356%","moderate",2,"0.4807692307692308%"
"weeks",3,"0.5639097744360902%","other",1,"0.7936507936507936%","proteome",4,"0.23696682464454977%","normal",2,"0.21645021645021645%","","","","","","","and",1,"0.49019607843137253%","required",3,"0.27342966084687936%","approximately",1,"0.37593984962406013%","phase",2,"0.1949317738791423%","least",4,"0.13192612137203166%","vd",3,"0.25773195876288657%","has",4,"0.249911797313365%","been",6,"0.1091750944315828%","or",4,"0.2797449613677152%","blood",3,"0.31753952906719424%","an",3,"0.45064801367322377%","moderate",1,"0.49504950495049505%","diagnosis",1,"0.6369426751592356%","alzheimer",2,"0.4807692307692308%"
"background",2,"0.37593984962406013%","domains",1,"0.7936507936507936%","related",4,"0.23696682464454977%","order",2,"0.3232788716659684%","","","","","","","60",1,"0.49019607843137253%","which",3,"0.27342966084687936%","16",1,"0.37593984962406013%","video-vignettes",2,"0.1949317738791423%","week",4,"0.23335319317956138%","objective",2,"0.2717391304347826%","been",4,"0.2171104423192096%","mild",6,"0.37863248861878496%","associated",4,"0.4697372221170269%","mri",3,"0.8495719877833698%","that",3,"0.45064801367322377%","alzheimer'",1,"0.49504950495049505%","mild",1,"0.6369426751592356%","based",2,"0.5693319838056681%"
"population",2,"0.37593984962406013%","as",1,"0.7936507936507936%","from",4,"0.23696682464454977%","investigators",2,"0.21645021645021645%","","","","","","","healthy",1,"0.49019607843137253%","this",3,"0.8718047157436734%","home-based",1,"0.37593984962406013%","illustrating",2,"0.1949317738791423%","mad",4,"0.13192612137203166%","efficacy",2,"0.2717391304347826%","but",4,"0.249911797313365%","early",6,"0.1911005989183507%","amyloid",4,"0.35658914728682173%","called",3,"0.34843205574912894%","or",3,"0.2946260089117232%","disease",1,"0.49504950495049505%","moderate",1,"0.6369426751592356%","analyzed",2,"0.5693319838056681%"
"significant",2,"0.37593984962406013%","quality",1,"0.7936507936507936%","these",4,"0.23696682464454977%","mark",2,"0.21645021645021645%","","","","","","","controls",1,"0.49019607843137253%","controlled",3,"0.2207505518763797%","person",1,"0.37593984962406013%","one",2,"0.1949317738791423%","5",4,"0.13192612137203166%","safety",2,"0.2717391304347826%","are",4,"0.21415361204126754%","dementia",6,"0.10486982657081352%","from",4,"0.27279479751760244%","f-18",3,"0.34843205574912894%","cognitive",3,"0.2946260089117232%","ne-ergic",1,"0.49504950495049505%","ad",1,"0.6369426751592356%","combined",2,"0.4807692307692308%"
"increase",2,"0.37593984962406013%","life",1,"0.7936507936507936%","differences",4,"0.23696682464454977%","preclinical",2,"0.21645021645021645%","","","","","","","first",1,"0.49019607843137253%","orientation",3,"0.2207505518763797%","recruited",1,"0.37593984962406013%","research",2,"0.1949317738791423%","3",4,"0.13192612137203166%","potential",2,"0.2217802181383535%","number",4,"0.28566998258546245%","4",6,"0.22544219095943235%","regular",4,"0.2682763246143528%","one",3,"0.34843205574912894%","behavioral",3,"0.2946260089117232%","undergo",1,"0.49504950495049505%","enrolled",1,"0.6369426751592356%","primary",2,"0.5693319838056681%"
"number",2,"0.37593984962406013%","functional",1,"0.7936507936507936%","subject",4,"0.423728813559322%","research",2,"0.5411255411255411%","","","","","","","analysis",1,"0.49019607843137253%","given",3,"0.2207505518763797%","community",1,"0.37593984962406013%","assistant",2,"0.1949317738791423%","days",4,"0.13192612137203166%","receive",2,"0.2717391304347826%","investigators",4,"0.3184713375796178%","assessment",6,"0.10486982657081352%","ro-948",4,"0.2026342451874367%","visits",3,"0.34843205574912894%","qcs",3,"0.5128205128205129%","degeneration",1,"0.49504950495049505%","study",1,"0.6369426751592356%","multivariate",2,"0.4807692307692308%"
"people",2,"0.37593984962406013%","status",1,"0.7936507936507936%","twice",4,"0.423728813559322%","individuals",2,"0.21645021645021645%","","","","","","","data",1,"0.49019607843137253%","s",3,"0.2207505518763797%","series",1,"0.37593984962406013%","at",2,"0.1949317738791423%","clinic",4,"0.13192612137203166%","topical",2,"0.2717391304347826%","colonic",4,"0.3184713375796178%","imaging",6,"0.4457402245959379%","mk-6240",4,"0.2026342451874367%","undergo",3,"0.34843205574912894%","group",3,"0.40372326086611793%","system",1,"0.49504950495049505%","neurological",1,"0.6369426751592356%","50",2,"0.4807692307692308%"
"therapy",2,"0.37593984962406013%","this",1,"0.7936507936507936%","randomized",3,"0.3844423828399539%","not",2,"0.21645021645021645%","","","","","","","search",1,"0.49019607843137253%","where",3,"0.2207505518763797%","two",1,"0.37593984962406013%","using",2,"0.1949317738791423%","who",4,"0.2152236607964656%","application",2,"0.2717391304347826%","can",4,"0.21119678176332551%","week",6,"0.2200328407224959%","each",4,"0.21904476504416573%","investigate",2,"0.7025354425183923%","they",3,"0.2946260089117232%","plays",1,"0.49504950495049505%","examination",1,"0.6369426751592356%","double-blind",2,"0.5693319838056681%"
"these",2,"0.37593984962406013%","open",1,"0.7936507936507936%","enrolled",3,"0.37300369421100504%","new",2,"0.3232788716659684%","","","","","","","differences",1,"0.49019607843137253%","labs",3,"0.2207505518763797%","audiotaped",1,"0.37593984962406013%","visit",2,"0.1949317738791423%","1",4,"0.41807780441152503%","weeks",2,"0.2717391304347826%","using",4,"0.7616077037461135%","we",6,"0.17862385353551433%","interventions",4,"0.3311886731575851%","lymphatic",2,"0.17050298380221654%","one",3,"0.1855287569573284%","role",1,"0.49504950495049505%","including",1,"0.6369426751592356%","after",2,"0.4807692307692308%"
"investigate",2,"0.37593984962406013%","label",1,"0.7936507936507936%","receive",3,"0.4053334009946209%","may",2,"0.21645021645021645%","","","","","","","profiles",1,"0.49019607843137253%","hypothesis",2,"0.19984614355475283%","conducted",1,"0.37593984962406013%","practice",2,"0.1949317738791423%","screening",4,"0.29852120022089956%","under",2,"0.2921195652173913%","used",4,"0.24695496703542294%","carotid",6,"0.11778563015312132%","four",3,"0.21855921855921853%","health",2,"0.17050298380221654%","brain",3,"0.1855287569573284%","cognition",1,"0.49504950495049505%","examiner",1,"0.6369426751592356%","weeks",2,"0.4807692307692308%"
"other",2,"0.37593984962406013%","flexible",1,"0.7936507936507936%","drug",3,"0.3615650055820562%","one",2,"0.21645021645021645%","","","","","","","between",1,"0.49019607843137253%","desflurane",2,"0.25252525252525254%","these",1,"0.37593984962406013%","ra",2,"0.1949317738791423%","baseline",4,"0.2152236607964656%","its",2,"0.2421606529209622%","diagnosis",4,"0.18430908732505422%","mitoq",6,"0.11778563015312132%","diagnosis",3,"0.21855921855921853%","short-acting",2,"0.17050298380221654%","activity",3,"0.1855287569573284%","recent",1,"0.49504950495049505%","fill",1,"0.6369426751592356%","4",2,"0.4807692307692308%"
"subjects",2,"0.37593984962406013%","dose",1,"0.7936507936507936%","donepezil",3,"0.4491017964071856%","memory",2,"0.21645021645021645%","","","","","","","second",1,"0.49019607843137253%","propofol",2,"0.25252525252525254%","participants",1,"0.37593984962406013%","receiving",2,"1.2820512820512822%","assessment",4,"0.2152236607964656%","single",2,"0.3125%","specific",4,"0.18430908732505422%","efficacy",5,"0.07662835249042146%","enrolled",3,"0.16480918608578182%","slow",2,"0.17050298380221654%","visit",3,"0.1855287569573284%","studies",1,"0.49504950495049505%","out",1,"0.6369426751592356%","5",2,"0.4807692307692308%"
"there",2,"0.37593984962406013%","6",1,"0.7936507936507936%","matching",3,"0.4491017964071856%","visit",2,"0.21645021645021645%","","","","","","","step",1,"0.49019607843137253%","isoflurane",2,"0.25252525252525254%","explore",1,"0.37593984962406013%","stable",2,"1.2820512820512822%","maintenance",4,"0.13192612137203166%","dose",2,"0.3125%","anxiety",4,"0.18726591760299627%","12",5,"0.32585294654260166%","objective",3,"0.2802635815995539%","norepinephrine",2,"0.17050298380221654%","asked",3,"0.1855287569573284%","have",1,"0.49504950495049505%","time",1,"0.6369426751592356%","1",2,"0.5693319838056681%"
"few",2,"0.37593984962406013%","weeks",1,"0.7936507936507936%","5",3,"0.4053334009946209%","randomised",2,"0.43010752688172044%","","","","","","","investigators",1,"0.49019607843137253%","sevoflurane",2,"0.25252525252525254%","perspectives",1,"0.37593984962406013%","intent",1,"0.4444444444444444%","completion",4,"0.13192612137203166%","250",2,"0.3125%","patient",4,"0.18430908732505422%","shown",5,"0.08954415607272924%","s",3,"0.2930970837947582%","preferred",2,"0.17050298380221654%","their",3,"0.1855287569573284%","indicated",1,"0.49504950495049505%","initial",1,"0.6369426751592356%","2",2,"0.5693319838056681%"
"studies",2,"0.37593984962406013%","randomized",1,"0.7936507936507936%","weeks",3,"0.3615650055820562%","double",2,"0.43010752688172044%","","","","","","","predictive",1,"0.49019607843137253%","an",2,"0.8509003074220466%","on",1,"0.37593984962406013%","answer",1,"0.4444444444444444%","safety",4,"0.4194574115418443%","b",2,"0.3125%","test",4,"0.18430908732505422%","well",5,"0.16092602000730968%","also",3,"0.20458038964935263%","other",2,"0.17050298380221654%","performance",3,"0.1855287569573284%","that",1,"0.49504950495049505%","evaluation",1,"0.6369426751592356%","3",2,"0.5693319838056681%"
"use",2,"0.37593984962406013%","outpatient",1,"0.7936507936507936%","based",3,"0.26818401112467005%","blind",2,"0.43010752688172044%","","","","","","","value",1,"0.49019607843137253%","who",2,"0.19984614355475283%","what",1,"0.37593984962406013%","questions",1,"0.4444444444444444%","phase",4,"0.13192612137203166%","years",2,"0.2421606529209622%","hypno-analgesia",4,"0.18726591760299627%","randomized",5,"0.6236088305053822%","using",3,"0.20458038964935263%","agents",2,"0.17050298380221654%","portable",3,"0.1855287569573284%","increasing",1,"0.49504950495049505%","then",1,"0.6369426751592356%","daily",2,"0.6578947368421053%"
"limited",2,"0.37593984962406013%","inpatient",1,"0.7936507936507936%","effects",3,"0.3844423828399539%","parallel",2,"0.43010752688172044%","","","","","","","detect",1,"0.49019607843137253%","scheduled",2,"0.19984614355475283%","constitutes",1,"0.37593984962406013%","proposed",1,"0.4444444444444444%","cognitive",4,"0.8917133129436206%","purpose",2,"0.7438053897630675%","associated",4,"0.18726591760299627%","must",5,"0.07662835249042146%","activities",3,"0.2115305534994654%","it",2,"0.17050298380221654%","use",3,"0.1855287569573284%","ne",1,"0.49504950495049505%","series",1,"0.6369426751592356%","month",2,"0.6578947368421053%"
"developed",2,"0.37593984962406013%","schedule",1,"0.7936507936507936%","primary",3,"0.31487450835336317%","group",2,"0.43010752688172044%","","","","","","","who",1,"0.49019607843137253%","surgery",2,"0.25252525252525254%","feasible",1,"0.37593984962406013%","safe",1,"0.4444444444444444%","are",4,"0.5013753438359589%","research",2,"0.7438053897630675%","patch",4,"0.18726591760299627%","visit",5,"0.07662835249042146%","microbiota",3,"0.20120724346076457%","could",2,"0.17050298380221654%","two",3,"0.1855287569573284%","brain",1,"0.49504950495049505%","treatments",1,"0.6369426751592356%","subjects",2,"0.6578947368421053%"
"battery",2,"0.37593984962406013%","include",1,"0.7936507936507936%","quality",3,"0.3615650055820562%","evaluate",2,"0.43010752688172044%","","","","","","","later",1,"0.49019607843137253%","mgh",2,"0.25252525252525254%","acceptable",1,"0.37593984962406013%","effective",1,"0.4444444444444444%","visit",4,"0.5376344086021505%","ftd",2,"1.3157894736842106%","whether",4,"0.1783954267691701%","subjects",5,"0.5035050522415143%","improve",3,"0.20120724346076457%","interstitial",2,"0.17050298380221654%","implemented",3,"0.1855287569573284%","significantly",1,"0.49504950495049505%","week",1,"0.6369426751592356%","apoe4",2,"0.6578947368421053%"
"purpose",2,"0.37593984962406013%","screening",1,"0.7936507936507936%","life",3,"0.3615650055820562%","effects",2,"0.43010752688172044%","","","","","","","convert",1,"0.49019607843137253%","preoperative",2,"0.25252525252525254%","associated",1,"0.37593984962406013%","improving",1,"0.4444444444444444%","dana",4,"0.46511627906976744%","without",2,"0.7438053897630675%","scale",4,"0.18726591760299627%","assess",5,"0.19995566742004472%","through",3,"0.18479672360403557%","also",2,"0.20139551048415125%","whether",3,"0.1855287569573284%","microglia",1,"0.49504950495049505%","weeks",1,"0.6369426751592356%","from",2,"0.6578947368421053%"
"years",2,"0.37593984962406013%","baseline",1,"0.7936507936507936%","also",3,"0.26818401112467005%","repeat",2,"0.43010752688172044%","","","","","","","evaluate",1,"1.6666666666666667%","by",2,"0.19984614355475283%","symptoms",1,"0.37593984962406013%","pathology",1,"0.4444444444444444%","caregivers",4,"0.46511627906976744%","normal",2,"0.7438053897630675%","assessed",4,"0.18430908732505422%","associated",5,"0.6029308447634532%","lactobacillus",3,"0.20120724346076457%","given",2,"0.17050298380221654%","presented",3,"0.1855287569573284%","migration",1,"0.49504950495049505%","12",1,"0.6369426751592356%","objective",1,"0.2403846153846154%"
"following",2,"0.37593984962406013%","3",1,"0.7936507936507936%","cognitive",3,"0.352112676056338%","oral",2,"0.43010752688172044%","","","","","","","effects",1,"1.6666666666666667%","surgeon",2,"0.25252525252525254%","second",1,"0.37593984962406013%","outcomes",1,"0.4444444444444444%","effect",3,"0.674007171368649%","found",2,"0.1718213058419244%","two",4,"0.18135225704711216%","during",5,"0.3911617892133198%","known",3,"0.1753363675974193%","safety",2,"0.20139551048415125%","list",3,"0.1855287569573284%","clearance",1,"0.49504950495049505%","end",1,"0.6369426751592356%","assessment",1,"0.2403846153846154%"
"12-session",2,"0.37593984962406013%","treatment",1,"0.7936507936507936%","functioning",3,"0.3406739874273892%","doses",2,"0.43010752688172044%","","","","","","","multiple",1,"1.6666666666666667%","if",2,"0.25252525252525254%","consist",1,"0.37593984962406013%","autologous",1,"0.4444444444444444%","positron",3,"0.3017987346440832%","type",2,"0.1718213058419244%","cms",4,"0.17543859649122806%","how",5,"0.39372592981189714%","binding",3,"0.1519756838905775%","compared",2,"0.20139551048415125%","number",3,"0.4975727664803295%","mouse",1,"0.49504950495049505%","intervention",1,"0.6369426751592356%","dementia",1,"0.2403846153846154%"
"or",2,"0.37593984962406013%","assessment",1,"0.7936507936507936%","studies",3,"0.23585430434105423%","rsg-",2,"0.43010752688172044%","","","","","","","dose",1,"1.6666666666666667%","recruitment",2,"0.25252525252525254%","follow",1,"0.37593984962406013%","adipose-derived",1,"0.4444444444444444%","emission",3,"0.3017987346440832%","pre-diabetes",2,"0.1718213058419244%","changes",4,"0.17543859649122806%","intervention",5,"0.3054778916847882%","healthy",3,"0.2838405992610786%","measuring",2,"0.7025354425183923%","pilot",3,"0.6535947712418301%","models",1,"0.49504950495049505%","reassessed",1,"0.6369426751592356%","type",1,"0.2403846153846154%"
