"2001","Num studies:1","","2002","Num studies:1","","2005","Num studies:2","","2007","Num studies:5","","2009","Num studies:3","","2010","Num studies:2","","2012","Num studies:5","","2013","Num studies:2","","2014","Num studies:6","","2015","Num studies:8","","2016","Num studies:20","","2017","Num studies:18","","2018","Num studies:48","","2019","Num studies:59","","2020","Num studies:85","","2021","Num studies:159","","2022","Num studies:133","","2023","Num studies:1",""
"impairment",1,"0.6896551724137931%","can",1,"0.5714285714285714%","2",2,"0.24096385542168675%","fluid",8,"0.19034600685511843%","potential",4,"0.2304854337986868%","that",2,"0.4329004329004329%","investigators",6,"0.5382108693366972%","also",2,"0.6948396888635933%","follow-up",6,"0.32334809967200756%","determine",10,"0.09125549758729366%","during",15,"0.11806657231039379%","caregivers",18,"0.2852739206854272%","also",30,"0.21879133506746204%","may",43,"0.2239049907119241%","these",56,"0.15216514790795574%","also",96,"0.21001130037711635%","after",70,"0.1509597071432162%","ad",1,"1.0%"
"age-matched",1,"0.6896551724137931%","investigated",1,"0.5714285714285714%","epidemiological",2,"0.24096385542168675%","main",8,"0.3233849226133284%","than",4,"0.32934974398943484%","their",2,"0.4329004329004329%","assess",5,"0.11235955056179776%","process",2,"0.6948396888635933%","adults",6,"0.14749262536873156%","research",9,"0.42716368896394047%","after",15,"0.1577426384393522%","has",18,"0.06716206866911141%","older",30,"0.1908423601354097%","imaging",43,"0.3025139036027888%","data",54,"0.2068205495775379%","blood",96,"0.16535012290152884%","evaluate",69,"0.36136044678574214%","i",1,"1.0%"
"controls",1,"0.6896551724137931%","identifying",1,"0.5714285714285714%","3",2,"0.24096385542168675%","follow-up",8,"0.20932672687310133%","individuals",4,"0.22948938611589212%","specific",2,"0.4329004329004329%","biomarker",5,"0.11235955056179776%","could",2,"1.1904761904761905%","who",6,"0.149610468194539%","3",9,"0.5762377643632638%","measures",15,"0.13724139651341052%","1",18,"0.19166693691533698%","1",29,"0.29743948864486863%","trial",42,"0.20692329635901352%","function",53,"0.11971394250660972%","use",95,"0.20898923290673674%","people",69,"0.20523278411852988%","e",1,"1.0%"
"study",1,"0.6896551724137931%","help",1,"0.5714285714285714%","4",2,"0.24096385542168675%","by",8,"0.3437862845585136%","develop",4,"0.2304854337986868%","alzheimer",2,"0.4329004329004329%","known",5,"0.11235955056179776%","order",2,"1.1904761904761905%","mci",6,"0.15384615384615385%","by",9,"0.13494879972506796%","subject",15,"0.13464656813331183%","been",18,"0.17203787838001464%","who",29,"0.2435338925033377%","all",42,"0.1490051572841931%","adults",53,"0.15134249183846796%","mild",93,"0.3369479528309954%","safety",68,"0.40417177204965016%","apolipoprotein",1,"1.0%"
"attempt",1,"0.6896551724137931%","qualifying",1,"0.5714285714285714%","laws",2,"0.24096385542168675%","vad",8,"0.1314708299096138%","including",4,"0.22948938611589212%","determine",2,"0.5231986827078852%","such",5,"0.24657424556062496%","new",2,"1.1904761904761905%","uptake",5,"0.3162393162393163%","which",9,"0.27813880878396635%","2",14,"0.13592197312030768%","imaging",17,"0.11322353653469354%","biomarkers",28,"0.2044782199517927%","it",41,"0.1941256653993318%","randomized",53,"0.2797460236165889%","all",91,"0.15674208408257195%","blood",67,"0.17309788003827825%","e-ε4",1,"1.0%"
"identify",1,"0.6896551724137931%","two",1,"0.5714285714285714%","5",2,"0.24096385542168675%","older",8,"0.26058631921824105%","mcs",4,"0.22948938611589212%","be",2,"0.5231986827078852%","status",5,"0.11235955056179776%","biomarkers",2,"1.1904761904761905%","status",5,"0.1657884007423901%","test",9,"0.2297276481857653%","including",14,"0.16989782052891594%","subjects",17,"0.3421119481265204%","risk",28,"0.21544044035719845%","which",41,"0.18649818982842783%","research",53,"0.195100197578673%","using",90,"0.14273530377275526%","3",66,"0.1959668658846211%","gene",1,"1.0%"
"at",1,"0.6896551724137931%","living",1,"0.5714285714285714%","discover",2,"0.24096385542168675%","factors",7,"0.5314092252624555%","2",4,"0.22998740995728947%","will",2,"0.5231986827078852%","onset",5,"0.13403775082471414%","dementia",2,"0.6948396888635933%","inclusion",5,"0.2076073589312668%","participant",9,"0.3037834852250759%","memory",14,"0.30866698446398366%","blood",17,"0.18620846398868263%","effects",28,"0.19895293373903425%","they",41,"0.08857761474801236%","using",52,"0.21550594861077987%","who",89,"0.19476232492837542%","which",66,"0.13674025251555683%","that",1,"1.0%"
"genetically",1,"0.6896551724137931%","blood-related",1,"0.5714285714285714%","verify",2,"0.24096385542168675%","diseases",7,"0.5741449660443817%","those",4,"0.22998740995728947%","risk",2,"0.6134969325153374%","early",5,"0.1990723516134633%","goal",2,"0.199203187250996%","blood",5,"0.2076073589312668%","how",9,"0.09029100858840358%","time",14,"0.17787856322856582%","rls",16,"0.09182736455463729%","normal",27,"0.21792076178510691%","these",41,"0.15264771906804503%","group",52,"0.2033951685666914%","impairment",85,"0.2525295147366142%","caregivers",66,"0.18450399100336218%","develop",1,"1.0%"
"defined",1,"0.6896551724137931%","individuals",1,"0.5714285714285714%","6",2,"0.24096385542168675%","mild",7,"0.5902844022079601%","their",4,"0.2304854337986868%","after",2,"0.6134969325153374%","dementia",5,"0.17739415135054692%","identify",2,"0.199203187250996%","may",5,"0.12291052114060963%","cns",9,"0.20147768330412583%","blood",14,"0.19136736944708327%","2",16,"0.22444614349518868%","mri",25,"0.15921773643216114%","has",40,"0.16352383226274483%","e",51,"0.11257414623039348%","randomized",84,"0.20137917112438217%","biomarkers",64,"0.20467990417242854%","early",1,"1.0%"
"risk",1,"0.6896551724137931%","been",1,"0.5714285714285714%","counseling",2,"0.24096385542168675%","neurodegenerative",7,"0.21806853582554514%","research",4,"0.43020614954577213%","or",2,"0.6134969325153374%","they",5,"0.27170582226761997%","assess",2,"0.199203187250996%","early",5,"0.12502836396641706%","researchers",9,"0.08287186244309515%","performed",13,"0.10138390069295859%","samples",16,"0.13026412438619295%","between",25,"0.17113658700484166%","2",40,"0.1936757509913844%","outcomes",51,"0.19327461707369456%","evaluate",82,"0.4080344951794303%","dose",62,"0.14895865880175788%","dysfunction",1,"1.0%"
"for",1,"0.6896551724137931%","showing",1,"0.5714285714285714%","mutations",2,"0.24096385542168675%","lifestyle",7,"0.1739121531164167%","somatic",4,"0.23148148148148148%","study",2,"0.6134969325153374%","testing",5,"0.2248960452977086%","longitudinally",2,"0.199203187250996%","matter",5,"0.12820512820512822%","amount",9,"0.07545271629778671%","used",13,"0.19607130597000205%","exercise",16,"0.1340707223060164%","imaging",25,"0.16448205288878867%","years",40,"0.1801413091523216%","their",50,"0.2163153196226024%","risk",81,"0.17462466455765693%","can",62,"0.1773990153037153%","significant",1,"1.0%"
"through",1,"0.6896551724137931%","symptoms",1,"0.5714285714285714%","mutation",2,"0.24096385542168675%","assessments",7,"0.2251717454615564%","expression",4,"0.23148148148148148%","associated",2,"0.6134969325153374%","whether",5,"0.15571595108763053%","monitor",2,"0.199203187250996%","using",5,"0.12820512820512822%","silk",9,"0.07545271629778671%","within",13,"0.1604139916130031%","functional",16,"0.1602579104214847%","sleep",25,"0.2549703589117525%","treatment",39,"0.3046138570438709%","studies",50,"0.15001731259201487%","trial",79,"0.19218251524082713%","function",62,"0.15652350319756386%","cerebrovascular",1,"1.0%"
"screening",1,"0.6896551724137931%","local",1,"0.5714285714285714%","symptomatic",2,"0.24096385542168675%","not",7,"0.40913175423288217%","from",4,"0.23148148148148148%","follow-up",2,"0.6134969325153374%","g",5,"0.3150622227934528%","subjects",2,"0.199203187250996%","subjects",5,"0.12820512820512822%","ir",9,"0.14222503160556257%","diagnosis",13,"0.2226953946881541%","cohort",16,"0.07570542533185758%","subjects",24,"0.15858502591313153%","one",39,"0.1679975903115737%","changes",50,"0.13730108367653196%","one",78,"0.17388295806806514%","mci",62,"0.16890139774933607%","pathology",1,"1.0%"
"addition",1,"0.6896551724137931%","sites",1,"0.5714285714285714%","impact",2,"0.24096385542168675%","cerebrospinal",7,"0.1739121531164167%","therapy",4,"0.23148148148148148%","cohort",2,"0.6134969325153374%","learn",5,"0.33743254003361944%","enroll",2,"0.199203187250996%","adni",5,"0.12820512820512822%","environmental",8,"0.2457002457002457%","biomarkers",13,"0.11271716005298622%","pet",16,"0.04457817898138861%","group",24,"0.19883873769015536%","adults",39,"0.16565315982105341%","mci",49,"0.21818090055243577%","these",78,"0.14224330073773467%","health",61,"0.15012621308039667%","compared",1,"1.0%"
"detailed",1,"0.6896551724137931%","located",1,"0.5714285714285714%","different",2,"0.24096385542168675%","visits",7,"0.20477038351637128%","it",4,"0.23148148148148148%","without",2,"0.6134969325153374%","cognitively",5,"0.17739415135054692%","informed",2,"0.199203187250996%","year",4,"0.21242443193662708%","effects",8,"0.18091564526007917%","between",13,"0.15066895623605076%","specific",15,"0.2117287402895296%","weeks",24,"0.1938472000362118%","randomized",38,"0.22904622427104307%","blood",49,"0.1782914637387624%","training",76,"0.08252327607469209%","using",61,"0.19814402179233787%","non-carriers",1,"1.0%"
"neurological",1,"0.6896551724137931%","all",1,"0.5714285714285714%","project",2,"0.24096385542168675%","clinic",7,"0.21806853582554514%","which",4,"0.23148148148148148%","samples",2,"0.6134969325153374%","completion",5,"0.16862779792975316%","prior",2,"0.199203187250996%","measured",4,"0.3840442205882882%","from",8,"0.21098250733087343%","impairment",13,"0.3208831815126567%","effect",15,"0.14001356782598343%","has",24,"0.13484797563112247%","health",37,"0.19893768749622762%","memory",49,"0.2169367686592732%","months",76,"0.15820649226319103%","research",61,"0.12509809229472965%","establish",1,"1.0%"
"examination",1,"0.6896551724137931%","over",1,"0.5714285714285714%","is",2,"0.24096385542168675%","participants",7,"0.41055239616008443%","study",3,"0.17261506342831642%","major",1,"0.21645021645021645%","about",5,"0.49677881173944166%","any",2,"0.199203187250996%","risk",4,"0.3004063042105347%","e",8,"0.230138536291242%","amyloid",13,"0.21444293051042868%","one",15,"0.15688809093170603%","caregivers",24,"0.11000670612154928%","physical",37,"0.1487700467097302%","also",48,"0.18138298328356306%","amyloid",76,"0.23920531254073002%","placebo",60,"0.2972543538302147%","whether",1,"1.0%"
"receive",1,"0.6896551724137931%","united",1,"0.5714285714285714%","pathogenic",2,"0.24096385542168675%","their",7,"0.16203464273444507%","mutation",3,"0.17211703958691912%","public",1,"0.21645021645021645%","vascular",5,"0.2207505518763797%","activities",2,"0.199203187250996%","allow",4,"0.32924048454845617%","genematch",8,"0.4784688995215311%","they",13,"0.0923840612362259%","risk",15,"0.2835064689804586%","changes",24,"0.28156405307413257%","baseline",37,"0.18744904907778598%","amyloid",48,"0.20157808934902197%","weeks",75,"0.1697181806785212%","phase",60,"0.16596126998632285%","neurovasculature",1,"1.0%"
"battery",1,"0.6896551724137931%","states",1,"0.5714285714285714%","protective",2,"0.24096385542168675%","explore",7,"0.11503697617091209%","model",3,"0.17311308726971375%","health",1,"0.21645021645021645%","aging",5,"0.2207505518763797%","history",2,"0.199203187250996%","tau",4,"0.665607745253763%","weeks",8,"0.4059785138036269%","test",12,"0.1636913647999557%","these",15,"0.14173502006157257%","factors",23,"0.20776088278620816%","sleep",37,"0.19389062096003173%","early",47,"0.17558221915560845%","research",75,"0.15394895473031103%","training",59,"0.15265566187754218%","plays",1,"1.0%"
"neuropsychological",1,"0.6896551724137931%","arrangements",1,"0.5714285714285714%","analyze",2,"0.24096385542168675%","pathogenic",7,"0.11503697617091209%","major",3,"0.27247542130185914%","issue",1,"0.21645021645021645%","decline",5,"1.0406811731315042%","cognitive",2,"0.199203187250996%","without",4,"0.28848044777248316%","biomarkers",8,"0.3822319919317036%","function",12,"0.21423319214667086%","about",15,"0.4143997691899063%","data",23,"0.1179111532916854%","if",37,"0.16646568898893624%","aim",47,"0.11011928315817111%","baseline",75,"0.1231831793507937%","risk",59,"0.14828497051324907%","role",1,"1.0%"
"tests",1,"0.6896551724137931%","eligible",1,"0.5714285714285714%","data",2,"1.0464078536367694%","cerebral",7,"0.11503697617091209%","preclinical",3,"0.17211703958691912%","certainty",1,"0.21645021645021645%","participants",5,"0.2207505518763797%","complete",2,"0.199203187250996%","according",4,"0.18196633329024117%","increased",8,"0.14797116029510396%","consent",12,"0.0679267055760093%","other",15,"0.20753671784126226%","approach",23,"0.06764935994551738%","activity",37,"0.1640661059352291%","diagnosis",46,"0.19760309900891457%","between",75,"0.15500439951094236%","each",59,"0.1715795213283375%","cognitive",1,"1.0%"
"undergo",1,"0.6896551724137931%","do",1,"0.5714285714285714%","gene",2,"0.24096385542168675%","etc",7,"0.11503697617091209%","early-onset",3,"0.17211703958691912%","anatomopathological",1,"0.21645021645021645%","stem",5,"0.3937007874015748%","assessments",2,"0.199203187250996%","have",4,"0.14014737510136446%","time",8,"0.0670690811535882%","research",12,"0.25874724805072014%","function",14,"0.32181878458161894%","diet",23,"0.10195035460992907%","months",37,"0.15170640551699885%","been",45,"0.11501306375438632%","memory",75,"0.11677747770029719%","effects",57,"0.1795472724137454%","decline",1,"1.0%"
"testing",1,"0.6896551724137931%","not",1,"0.5714285714285714%","body",2,"0.24096385542168675%","gene",7,"0.34883593536017526%","changes",3,"0.17211703958691912%","tools",1,"0.21645021645021645%","efficacy",4,"0.0898876404494382%","over",2,"0.199203187250996%","impairment",4,"0.23236493302688696%","patients",7,"0.29074419138115926%","patient",12,"0.09285893895804007%","treatment",14,"0.27421863490551357%","randomized",22,"0.22435892874565436%","blood",36,"0.23538675402220913%","use",45,"0.12975485428059153%","pet",74,"0.21528100284715157%","these",57,"0.12312021892967595%","therefore",1,"1.0%"
"investigators",1,"0.6896551724137931%","live",1,"0.5714285714285714%","fluid",2,"0.24096385542168675%","that",6,"0.5296941657601298%","biological",3,"0.17261506342831642%","available",1,"0.21645021645021645%","if",4,"0.1461558878173936%","18",2,"0.199203187250996%","evolution",4,"0.2656042496679947%","clinical",7,"0.3693875480404828%","if",12,"0.07153669311838148%","not",14,"0.09605291688178011%","adults",22,"0.19257673880071421%","between",36,"0.18315476870390981%","efficacy",44,"0.2832647231460391%","primary",72,"0.1627011031492167%","during",56,"0.13311898634043437%","new",1,"1.0%"
"periodic",1,"0.6896551724137931%","near",1,"0.5714285714285714%","markers",2,"0.24096385542168675%","such",6,"0.7326348945494384%","amyloid",3,"0.17211703958691912%","clinicians",1,"0.21645021645021645%","biomarkers",4,"0.11156584071235458%","welcome",2,"0.199203187250996%","clinical",4,"0.1830252547031449%","group",7,"0.2658119748929553%","fluid",12,"0.18620476711101785%","we",14,"0.07713103099358577%","project",22,"0.10897998678360055%","memory",36,"0.17569276171283568%","after",44,"0.12292684158413218%","tau",72,"0.17488638250341218%","changes",54,"0.13136317218347582%","therapeutic",1,"1.0%"
"longitudinal",1,"0.6896551724137931%","participating",1,"0.5714285714285714%","pet",2,"0.24096385542168675%","early",6,"0.49883593536017534%","aβ42",3,"0.17211703958691912%","have",1,"0.21645021645021645%","mutations",4,"0.0898876404494382%","join",2,"0.199203187250996%","between",4,"0.18408417611604863%","visit",7,"0.26137153849556927%","been",12,"0.15227465122277156%","new",14,"0.08100767323616824%","can",22,"0.1516705109259579%","factors",35,"0.17816698755345395%","3",43,"0.12384298564855564%","has",71,"0.14814639946176733%","also",54,"0.09927324721535233%","target",1,"1.0%"
"assessment",1,"0.6896551724137931%","site",1,"0.5714285714285714%","drugs",2,"1.0464078536367694%","diagnostic",6,"0.11332191666858651%","activity",3,"0.27247542130185914%","probabilistic",1,"0.21645021645021645%","1",4,"0.20242413518534902%","directed",2,"0.199203187250996%","mmse",4,"0.2248442128920217%","not",7,"0.11752956945069096%","high",12,"0.15371236715368727%","gero",14,"0.04757050628610262%","cognitively",21,"0.17135129508375388%","test",35,"0.22792593004736222%","effects",43,"0.1941138172130497%","health",70,"0.1364098416163794%","adults",54,"0.17612352218583838%","treat",1,"1.0%"
"neurohistopathological",1,"0.6896551724137931%","biological",1,"0.5714285714285714%","anticholinergic",2,"1.8518518518518519%","research",6,"0.157478299377715%","specific",3,"0.27247542130185914%","during",1,"0.21645021645021645%","risk",4,"0.1895122883432264%","1",2,"0.199203187250996%","medical",4,"0.3224646481266021%","diet",7,"0.16926410973213912%","eeg",12,"0.15799050281808902%","related",13,"0.09913452345643675%","control",21,"0.12482075494541665%","mild",34,"0.2430670878986106%","which",42,"0.1515737866752283%","stimulation",69,"0.09603007681910042%","if",53,"0.14295632143127232%","carriers",1,"1.0%"
