"2017","Num studies:1","","2019","Num studies:2","","2020","Num studies:3","","2021","Num studies:20","","2022","Num studies:79","","2023","Num studies:35","","2024","Num studies:3","","2025","Num studies:1",""
"identify",1,"0.21008403361344538%","hypotheses",1,"0.16286644951140064%","early",4,"0.19068711833657484%","behavioural",8,"0.08714596949891068%","diseases",32,"0.11230955161430159%","used",18,"0.11217283251289026%","8",4,"0.319744204636291%","","",""
"causes",1,"0.21008403361344538%","treatments",1,"0.16286644951140064%","over",4,"0.17161620082815734%","qualitative",8,"0.0404040404040404%","test",32,"0.12243114547843344%","12",18,"0.16159971951868424%","act",4,"0.319744204636291%","","",""
"problems",1,"0.21008403361344538%","not",1,"0.16286644951140064%","identified",4,"0.17161620082815734%","treatments",7,"0.1641022514541641%","follow-up",32,"0.09222492245291537%","clinic",18,"0.0887796592906301%","test",4,"0.319744204636291%","","",""
"stroke",1,"0.21008403361344538%","only",1,"0.16286644951140064%","arrest",4,"0.1272159679089027%","all",7,"0.09224733993105813%","our",32,"0.05167913876320855%","engagement",18,"0.05075451910429717%","controlled",3,"0.34865530911818277%","","",""
"tumor",1,"0.21008403361344538%","extremely",1,"0.16286644951140064%","vascular",4,"0.14628688541732018%","was",7,"0.11920605073471316%","they",31,"0.08745071524296946%","effect",17,"0.13757570778011335%","training",3,"0.34865530911818277%","","",""
"head",1,"0.21008403361344538%","safe",1,"0.16286644951140064%","different",4,"0.3367003367003367%","may",7,"0.09805850057275142%","12",31,"0.10491746326748849%","program",17,"0.30645454686077017%","product",3,"0.4901960784313726%","","",""
"trauma",1,"0.21008403361344538%","but",1,"0.16286644951140064%","made",4,"0.2732291862726645%","due",7,"0.07494916610489047%","part",31,"0.08899206463253992%","activity",17,"0.12190305049941415%","improve",3,"0.40673343677998774%","","",""
"examination",1,"0.21008403361344538%","also",1,"0.16286644951140064%","diagnosis",4,"0.2732291862726645%","progression",7,"0.061351912983668176%","approximately",31,"0.1391197282088395%","using",17,"0.0789224109617546%","patient",3,"0.20711453980499303%","","",""
"characterized",1,"0.21008403361344538%","statistically",1,"0.16286644951140064%","there",4,"0.14628688541732018%","therapy",7,"0.1254685711186038%","life",31,"0.09749369556360193%","compared",17,"0.10389806259999006%","focus",3,"0.20711453980499303%","","",""
"gradual",1,"0.21008403361344538%","beneficial",1,"0.16286644951140064%","tracer",4,"0.3367003367003367%","6",7,"0.10877021068103872%","effects",31,"0.15813788692334732%","medical",17,"0.07376643151340981%","unique",3,"0.20711453980499303%","","",""
"onset",1,"0.21008403361344538%","all",1,"0.16286644951140064%","it",4,"0.08281573498964803%","being",7,"0.08548569284197682%","risk",31,"0.170785874986084%","function",16,"0.1649802915642412%","burden",3,"0.20711453980499303%","","",""
"decline",1,"0.21008403361344538%","outcomes",1,"0.16286644951140064%","disorders",4,"0.08281573498964803%","possible",7,"0.06883864291475689%","during",31,"0.0462933881214104%","blood",16,"0.11829481777794343%","social",3,"0.20711453980499303%","","",""
"cognition",1,"0.21008403361344538%","determined",1,"0.16286644951140064%","nervous",4,"0.08281573498964803%","atrophy",7,"0.08160579737012859%","effect",30,"0.09089842379671777%","moderate",16,"0.13113534822799863%","condition",3,"0.4901960784313726%","","",""
"sparring",1,"0.21008403361344538%","numerous",1,"0.16286644951140064%","myelin",4,"0.08281573498964803%","hypothesize",7,"0.04333588410021531%","such",30,"0.09186515715171416%","magnetic",16,"0.09315452586880786%","sample",3,"0.32327079512860296%","","",""
"motor",1,"0.21008403361344538%","valid",1,"0.16286644951140064%","reactions",4,"0.08281573498964803%","final",7,"0.14545065245539288%","function",30,"0.06777657189773037%","if",16,"0.06457401192433081%","more",3,"0.06557377049180328%","","",""
"sensory",1,"0.21008403361344538%","outcome",1,"0.16286644951140064%","therapies",4,"0.08281573498964803%","only",7,"0.09759976224291193%","pet",30,"0.12592947076583794%","adrd",16,"0.21648447676205024%","strong",3,"0.06557377049180328%","","",""
"function",1,"0.21008403361344538%","instruments",1,"0.16286644951140064%","seizures",3,"0.1953125%","evaluate",7,"0.3043923009206527%","more",30,"0.08246594619857639%","may",15,"0.10490513141980862%","incorporating",3,"0.06557377049180328%","","",""
"average",1,"0.21008403361344538%","compile",1,"0.16286644951140064%","magnetic",3,"0.16998318458916284%","functional",7,"0.2236812604459663%","improve",30,"0.1525726557172493%","such",15,"0.07542129459067619%","thus",3,"0.06557377049180328%","","",""
"course",1,"0.21008403361344538%","general",1,"0.16286644951140064%","resonance",3,"0.16998318458916284%","risk",7,"0.11490512791628034%","symptoms",30,"0.18616420657732244%","biomarkers",15,"0.11414959097891103%","15",3,"0.06557377049180328%","","",""
"approximately",1,"0.21008403361344538%","quality",1,"0.16286644951140064%","certain",3,"0.10651203416149069%","people",7,"0.1547416186612748%","glucose",30,"0.022220085905770712%","caregiver",15,"0.1305275436532957%","adaptation",3,"0.06557377049180328%","","",""
"decade",1,"0.21008403361344538%","life",1,"0.16286644951140064%","can",3,"0.21438341750841752%","week",7,"0.08149409450524693%","visit",30,"0.04110454224169486%","well",15,"0.09109432676897415%","produce",3,"0.06557377049180328%","","",""
"range",1,"0.21008403361344538%","condition-specific",1,"0.16286644951140064%","involve",3,"0.10651203416149069%","1",7,"0.15033977346659078%","drug",29,"0.1039931674643572%","how",15,"0.10006850995633515%","brief",3,"0.06557377049180328%","","",""
"3",1,"0.21008403361344538%","well",1,"0.16286644951140064%","seizure-like",3,"0.1953125%","tissue",7,"0.11636008918617616%","placebo",29,"0.23612752629150727%","within",15,"0.08621591635608988%","defined",3,"0.06557377049180328%","","",""
"20",1,"0.21008403361344538%","ongoing",1,"0.16286644951140064%","data",3,"0.16998318458916284%","training",7,"0.06505576208178439%","system",29,"0.11364203825648564%","complete",15,"0.11013359494119783%","scale",3,"0.18173002581541323%","","",""
"duration",1,"0.21008403361344538%","inclusion",1,"0.16286644951140064%","eeg",3,"0.1953125%","pain",7,"0.03535353535353535%","cognition",29,"0.10486823345118912%","visit",15,"0.07894909089965446%","20",3,"0.06557377049180328%","","",""
"death",1,"0.21008403361344538%","who",1,"0.16286644951140064%","up",3,"0.15091226708074534%","system",7,"0.03535353535353535%","music",29,"0.11245651892110976%","sleep",15,"0.139316362639964%","efficacy",3,"0.06557377049180328%","","",""
"present",1,"0.21008403361344538%","been",1,"0.16286644951140064%","epileptiform",3,"0.1953125%","questionnaire",7,"0.03535353535353535%","diagnosis",29,"0.06982201752776361%","clinics",15,"0.0488843399478012%","96",3,"0.06557377049180328%","","",""
"earliest",1,"0.21008403361344538%","approved",1,"0.16286644951140064%","only",3,"0.23345433501683502%","trial",6,"0.4126276300189343%","acute",29,"0.04424412245668663%","wave",15,"0.046082949308755755%","effect",3,"0.12365189815360826%","","",""
"learning",1,"0.21008403361344538%","alion",1,"0.16286644951140064%","reported",3,"0.10651203416149069%","first",6,"0.10896013775888272%","training",28,"0.12973880076775005%","online",14,"0.1679994212034302%","one",3,"0.06557377049180328%","","",""
"new",1,"0.21008403361344538%","accredited",1,"0.16286644951140064%","speech",3,"0.10651203416149069%","shown",6,"0.07689332689332688%","recruitment",28,"0.06512798515946151%","testing",14,"0.06801836926530024%","quality",3,"0.06557377049180328%","","",""
"retaining",1,"0.21008403361344538%","institutional",1,"0.16286644951140064%","areas",3,"0.10651203416149069%","they",6,"0.09391079441109762%","time",27,"0.05588348226558907%","light",14,"0.14191011840825485%","studies",3,"0.06557377049180328%","","",""
"than",1,"0.21008403361344538%","review",1,"0.16286644951140064%","causes",3,"0.10651203416149069%","therefore",6,"0.16280626197113968%","but",27,"0.04301553037167781%","severe",14,"0.08865248226950355%","significantly",3,"0.12365189815360826%","","",""
"few",1,"0.21008403361344538%","board",1,"0.16286644951140064%","association",3,"0.16998318458916284%","very",6,"0.04626772779639022%","there",27,"0.07915233765376141%","part",14,"0.053774989527778726%","depression",3,"0.06557377049180328%","","",""
"minutes",1,"0.21008403361344538%","solutions",1,"0.16286644951140064%","3",3,"0.16998318458916284%","designed",6,"0.0784674320644629%","groups",27,"0.04915033396120391%","usability",14,"0.09324753991487421%","found",3,"0.06557377049180328%","","",""
"advances",1,"0.21008403361344538%","irb",1,"0.16286644951140064%","followed",3,"0.16998318458916284%","population",6,"0.1086634303814612%","whether",27,"0.12407260650607327%","modules",14,"0.098283378443592%","was",3,"0.06557377049180328%","","",""
"ability",1,"0.21008403361344538%","march",1,"0.16286644951140064%","syndrome",3,"0.25252525252525254%","prevention",6,"0.11153872824353375%","years",26,"0.16272736858385448%","dronabinol",14,"0.10638297872340426%","primary",3,"0.06557377049180328%","","",""
"learn",1,"0.21008403361344538%","2019",1,"0.16286644951140064%","daily",3,"0.1255829516699082%","diagnostic",6,"0.12809011164274323%","two",26,"0.11376743490392437%","been",13,"0.10340189309891443%","effects",3,"0.18173002581541323%","","",""
"increasingly",1,"0.21008403361344538%","depending",1,"0.16286644951140064%","late",3,"0.25252525252525254%","more",6,"0.12757224427704977%","daily",26,"0.15238657699011549%","both",13,"0.07985706509037835%","been",3,"0.06557377049180328%","","",""
"compromised",1,"0.21008403361344538%","may",1,"0.16286644951140064%","years",3,"0.25252525252525254%","visual",6,"0.12157087157087158%","5",26,"0.11463038054441073%","improve",13,"0.13553111687119515%","evaluated",3,"0.18173002581541323%","","",""
"distant",1,"0.21008403361344538%","therapies",1,"0.16286644951140064%","proportion",3,"0.25252525252525254%","such",6,"0.08939188699406994%","quality",26,"0.10204286663488321%","functional",13,"0.11416508336634301%","also",3,"0.18173002581541323%","","",""
"memories",1,"0.21008403361344538%","via",1,"0.16286644951140064%","accurate",3,"0.25252525252525254%","project",6,"0.11781393659292778%","week",26,"0.11729251804940782%","those",13,"0.07396394896138883%","developed",3,"0.12365189815360826%","","",""
"are",1,"0.21008403361344538%","methods",1,"0.16286644951140064%","currently",3,"0.1255829516699082%","major",6,"0.21739130434782608%","change",26,"0.08112090225274006%","determine",13,"0.0765543648466869%","features",3,"0.18173002581541323%","","",""
"lost",1,"0.21008403361344538%","intravenous",1,"0.16286644951140064%","they",3,"0.1255829516699082%","diseases",6,"0.15502854633289415%","n",26,"0.06203385630286913%","all",13,"0.09530781181384602%","bladder",3,"0.06557377049180328%","","",""
"loses",1,"0.21008403361344538%","intra-nasal",1,"0.16286644951140064%","findings",3,"0.1255829516699082%","characterize",6,"0.1434643255295429%","well",26,"0.06648629699526112%","visits",13,"0.09384155760629136%","design",3,"0.06557377049180328%","","",""
"include",1,"0.21008403361344538%","r3",1,"0.16286644951140064%","had",3,"0.25252525252525254%","program",6,"0.08492993994852731%","increase",26,"0.06837851041229832%","conducted",13,"0.0905044336210991%","team",3,"0.06557377049180328%","","",""
"aphasia",1,"0.21008403361344538%","several",1,"0.16286644951140064%","could",3,"0.25252525252525254%","2",6,"0.11187823500505227%","both",25,"0.07391921778170714%","month",13,"0.07005282106352466%","feedback",3,"0.06557377049180328%","","",""
"apraxia",1,"0.21008403361344538%","best",1,"0.16286644951140064%","deposition",3,"0.25252525252525254%","before",6,"0.04976451677195172%","those",25,"0.0664595657747257%","end",13,"0.06396692068042284%","after",3,"0.18173002581541323%","","",""
"disorientation",1,"0.21008403361344538%","practice",1,"0.16286644951140064%","using",3,"0.1255829516699082%","personal",6,"0.03454620554992303%","take",25,"0.05390527760591547%","assessment",13,"0.12602681998746348%","use",3,"0.2398081534772182%","","",""
"impaired",1,"0.21008403361344538%","therapy",1,"0.16286644951140064%","pet",3,"0.25252525252525254%","overall",6,"0.03614577143988909%","designed",25,"0.13779712374531944%","preliminary",13,"0.10126211848644015%","experiences",3,"0.2398081534772182%","","",""
"judgment",1,"0.21008403361344538%","participating",1,"0.16286644951140064%","understand",3,"0.25252525252525254%","analysis",6,"0.0653187392317827%","metabolism",25,"0.01679828455237986%","assessments",13,"0.1154560770605589%","perspectives",3,"0.2398081534772182%","","",""
"affects",1,"0.21008403361344538%","practices",1,"0.16286644951140064%","evaluation",3,"0.062111801242236024%","mat",6,"0.030303030303030304%","through",25,"0.05738666692954806%","groups",13,"0.07960783443612456%","individual",3,"0.2398081534772182%","","",""
"life",1,"0.21008403361344538%","should",1,"0.16286644951140064%","sterile",3,"0.062111801242236024%","chronic",6,"0.05822483389023313%","caregiver",25,"0.06352605514870802%","system",13,"0.0900828887068946%","interviews",3,"0.2398081534772182%","","",""
"planning",1,"0.21008403361344538%","fall",1,"0.16286644951140064%","multiple",3,"0.062111801242236024%","immune",6,"0.030303030303030304%","engagement",25,"0.08590439235820241%","time",13,"0.05071057136056266%","statistical",3,"0.2398081534772182%","","",""
"meals",1,"0.21008403361344538%","into",1,"0.16286644951140064%","neurodegenerative",3,"0.062111801242236024%","inflammatory",6,"0.030303030303030304%","session",25,"0.04265675095656189%","healthcare",13,"0.05648089104901953%","part",2,"0.18525661630772527%","","",""
"managing",1,"0.21008403361344538%","than",1,"0.16286644951140064%","language",3,"0.062111801242236024%","sleeping",6,"0.030303030303030304%","results",24,"0.06414228505802942%","levels",12,"0.06979554366200022%","phase",2,"0.18525661630772527%","","",""
"finances",1,"0.21008403361344538%","he",1,"0.16286644951140064%","wide",3,"0.062111801242236024%","mood",6,"0.030303030303030304%","form",24,"0.045190854806038606%","people",12,"0.15637377203970693%","conduct",2,"0.18525661630772527%","","",""
"medication",1,"0.21008403361344538%","she",1,"0.16286644951140064%","many",3,"0.062111801242236024%","controlled",5,"0.17453239192369627%","include",24,"0.04408430132865696%","years",12,"0.0917050601660056%","maphabit",2,"0.32679738562091504%","","",""
"using",1,"0.21008403361344538%","can",1,"0.16286644951140064%","underlying",3,"0.062111801242236024%","rct",5,"0.18236714975845408%","4",24,"0.09095898241655499%","early",12,"0.07726834925518108%","offer",2,"0.32679738562091504%","","",""
"telephone",1,"0.21008403361344538%","still",1,"0.16286644951140064%","long-term",3,"0.062111801242236024%","efficacy",5,"0.348187543956036%","amyloid",24,"0.11416793872061977%","factors",12,"0.16516128393923996%","alzheimer",2,"0.18525661630772527%","","",""
"driving",1,"0.21008403361344538%","being",1,"0.16286644951140064%","central",3,"0.062111801242236024%","daily",5,"0.07922207628424262%","into",23,"0.10793156803031523%","has",12,"0.06948023841344146%","disease",2,"0.18525661630772527%","","",""
"many",1,"0.21008403361344538%","received",1,"0.16286644951140064%","impact",3,"0.062111801242236024%","state",5,"0.07467710667278257%","6",23,"0.112147171205496%","into",12,"0.1269582799120836%","dementias",2,"0.18525661630772527%","","",""
"capacities",1,"0.21008403361344538%","s",1,"0.16286644951140064%","felt",3,"0.062111801242236024%","purpose",5,"0.06577885900876905%","associated",23,"0.08482840137321794%","other",12,"0.09667343403522509%","integrated",2,"0.18525661630772527%","","",""
"may",1,"0.21008403361344538%","here",1,"0.16286644951140064%","seem",3,"0.062111801242236024%","general",5,"0.06130140206573328%","investigator",23,"0.02146281470152488%","resonance",12,"0.047982306783545314%","person",2,"0.18525661630772527%","","",""
"remain",1,"0.21008403361344538%","specific",1,"0.16286644951140064%","death",3,"0.062111801242236024%","muscle",5,"0.0363767191484853%","i",23,"0.06305369520407662%","collected",12,"0.06490293980240162%","field",2,"0.18525661630772527%","","",""
