"2010","Num studies:2","","2011","Num studies:4","","2012","Num studies:1","","2013","Num studies:1","","2014","Num studies:8","","2015","Num studies:6","","2016","Num studies:7","","2017","Num studies:14","","2018","Num studies:26","","2019","Num studies:28","","2020","Num studies:21","","2021","Num studies:18","","2022","Num studies:5",""
"healthy",4,"0.2717391304347826%","ci",9,"0.13416815742397137%","ban2401-g000-201",1,"0.423728813559322%","on",1,"0.704225352112676%","mri",7,"0.39941097577734913%","high",5,"0.1869112556314679%","purpose",4,"0.42251877912875085%","it",10,"0.241629332278753%","life",16,"0.1514226243715126%","safety",16,"0.5008915065074706%","include",7,"0.19729315442086237%","adults",14,"0.22605190142790801%","dementia",6,"0.18627033898729234%"
"project",3,"0.4076086956521739%","five",9,"0.13416815742397137%","an",1,"0.423728813559322%","b",1,"0.704225352112676%","also",7,"0.53314677364483%","risk",5,"0.16605228314445258%","learn",4,"0.3678839957035446%","l-serine",10,"0.16806722689075632%","2",16,"0.18752660410808084%","these",16,"0.1742029689007735%","it",7,"0.10611407546928182%","symptoms",14,"0.05415454275492274%","end",6,"0.09848549306560028%"
"risk",3,"0.4076086956521739%","associated",9,"0.17892645549858183%","18-month",1,"0.423728813559322%","offered",1,"0.704225352112676%","older",7,"0.613517342032967%","enrolled",5,"0.40746585675380875%","health",4,"0.4794849877123624%","research",10,"0.19499349637687427%","memory",16,"0.14343841441375235%","it",16,"0.10274490612536243%","factors",7,"0.17267511176007325%","cps",14,"0.0481000481000481%","analysis",6,"0.0684931506849315%"
"progression",3,"0.33967391304347827%","brink",9,"0.13416815742397137%","which",1,"0.423728813559322%","opportunity",1,"0.704225352112676%","alzheimers",7,"0.341796875%","elevated",5,"0.33200531208499334%","time",4,"0.39178964049734727%","trial",9,"0.17789667052865643%","has",16,"0.12000367576543022%","weeks",16,"0.24123811163067774%","mild",6,"0.2276331351607716%","clinical",13,"0.3462281598416807%","their",6,"0.3273331965305479%"
"well",3,"0.2717391304347826%","-",9,"0.4474762439462445%","monthly",1,"0.423728813559322%","continue",1,"0.704225352112676%","12-week",7,"0.2390710382513661%","administration",4,"0.1054739130904938%","research",4,"0.4043031686358754%","participants",9,"0.25072733790040885%","amyloid",16,"0.28106811971256324%","3",16,"0.15475723405325056%","baseline",6,"0.1782888717311201%","assess",13,"0.5108973816505646%","factors",6,"0.24844720496894407%"
"participants",3,"0.4076086956521739%","annual",9,"0.17892645549858183%","4",1,"0.423728813559322%","drug",1,"0.704225352112676%","imaging",6,"0.22083954720592053%","blood",4,"0.2042454009500536%","compound",4,"0.20422956553755522%","clinical",9,"0.23247698553964366%","groups",15,"0.14377898563807895%","wayfinding",16,"0.0716974368166338%","after",6,"0.30463986336585935%","also",13,"0.06606093195118179%","content",6,"0.24844720496894407%"
"florbetaben",3,"0.4076086956521739%","brainstem",8,"0.12300123001230012%","subgroups",1,"0.423728813559322%","until",1,"0.704225352112676%","influence",6,"0.03939075630252101%","behavioral",4,"0.11129660545353366%","pet",4,"0.20422956553755522%","associated",9,"0.13759304087167973%","impairment",15,"0.1790399247183547%","also",15,"0.19669033139172307%","intervention",6,"0.207343193767967%","3",13,"0.13310421217925572%","alzheimer",5,"0.15615933802568177%"
"by",3,"0.2717391304347826%","nuclei",8,"0.12300123001230012%","cognitive",1,"0.423728813559322%","results",1,"0.704225352112676%","trial",6,"0.128979476405947%","aging",4,"0.11129660545353366%","associated",4,"0.17350645093286166%","-",9,"0.23212961662272863%","efficacy",15,"0.3258203302714235%","-",15,"0.20573585199105895%","during",6,"0.21004365650961537%","have",13,"0.14860357859804701%","who",5,"0.45340447539039835%"
"scans",3,"0.4076086956521739%","potentials",8,"0.12300123001230012%","impairment",1,"0.423728813559322%","known",1,"0.704225352112676%","determine",6,"0.03939075630252101%","alzheimer",4,"0.1054739130904938%","using",4,"0.19484238751831653%","combined",9,"0.08737207484802949%","other",15,"0.1342678767126339%","using",15,"0.1778831680193848%","additional",6,"0.13417262634307334%","outcomes",13,"0.14648647526141728%","lead-in",5,"0.5524861878453039%"
"who",3,"0.2717391304347826%","was",8,"0.12253364930787054%","mci",1,"0.423728813559322%","post",1,"0.704225352112676%","which",6,"0.03939075630252101%","disease",4,"0.7223149693934335%","months",4,"0.20578585698539542%","training",9,"0.08086253369272237%","one",14,"0.12661561728127535%","two",15,"0.2786401923945723%","administered",6,"0.2354459018852508%","living",13,"0.06837372735938342%","provide",5,"0.11487012911179957%"
"then",3,"0.2717391304347826%","healthy",8,"0.12300123001230012%","due",1,"0.423728813559322%","trial",1,"0.704225352112676%","3",6,"0.12215439454470313%","cohort",4,"0.22702733861437943%","approximately",4,"0.2239954434515608%","illness",9,"0.10039115715864376%","two",14,"0.2397341538048286%","baseline",15,"0.14037958531403155%","from",6,"0.15945389468020435%","pwd",13,"0.06440810012238583%","part",5,"0.23032500671501474%"
"various",3,"0.20380434782608695%","controls",8,"0.12206606860344095%","ad",1,"0.423728813559322%","access",1,"0.704225352112676%","effects",6,"0.03939075630252101%","after",4,"0.10838525927201374%","which",4,"0.17508253363102097%","exercise",8,"0.10490988848369535%","program",14,"0.1565241194603299%","such",15,"0.11626739417736776%","not",6,"0.12151298494096868%","research",13,"0.1334789428076141%","effectiveness",5,"0.14486247149246836%"
"pet",3,"0.20380434782608695%","using",8,"0.16542162456476264%","dementia",1,"0.423728813559322%","started",1,"0.704225352112676%","function",6,"0.14974227395876386%","an",4,"0.2636812844906842%","imaging",4,"0.2050046992481203%","effects",8,"0.21229811307706692%","both",14,"0.13027197369125162%","when",14,"0.18075672052012856%","eligible",6,"0.21213036052555068%","quality",12,"0.18871201201848636%","possible",5,"0.05707762557077626%"
"such",3,"0.20380434782608695%","those",8,"0.1206633264901522%","frequent",1,"0.423728813559322%","development",1,"0.704225352112676%","used",6,"0.08165375525210083%","task",4,"0.11129660545353366%","2",4,"0.21070678160246764%","from",8,"0.17971969249242511%","dyads",14,"0.12821697218279218%","way",14,"0.07181466160575083%","tolerability",6,"0.3241407798487148%","individuals",12,"0.11981003372920042%","results",5,"0.1437013161428955%"
"predict",3,"0.20380434782608695%","who",8,"0.39243803585822146%","interim",1,"0.423728813559322%","discontinued",1,"0.704225352112676%","can",6,"0.21856819650937298%","10",4,"0.11129660545353366%","possible",4,"0.173742630348144%","period",8,"0.1944959568609799%","aim",14,"0.17045065171280102%","assess",14,"0.27257961554791316%","randomized",6,"0.1995686767724873%","can",12,"0.068381108216854%","neuropsychological",5,"0.05707762557077626%"
"future",3,"0.20380434782608695%","alzheimer",8,"0.3158307373515427%","analyses",1,"0.423728813559322%","","","","performed",6,"0.03939075630252101%","not",4,"0.18553908137924424%","sample",4,"0.1664704893223474%","mild",8,"0.23593215318538613%","caregiving",14,"0.10957928836571933%","can",14,"0.10505624506238063%","weeks",6,"0.31287468952862313%","stella",12,"0.04122861265718408%","international",5,"0.05707762557077626%"
"help",3,"0.20380434782608695%","risk",8,"0.16448646315590348%","conducted",1,"0.423728813559322%","","","","through",6,"0.21401446534467666%","5",4,"0.16490979663112434%","habits",4,"0.18256503879507074%","during",8,"0.16058686388279217%","factors",14,"0.09847346332815386%","function",14,"0.12083164982701215%","dose",6,"0.17369091651761168%","families",12,"0.055331305331305335%","system",5,"0.11267794789148536%"
"could",3,"0.20380434782608695%","should",8,"0.12253364930787054%","continually",1,"0.423728813559322%","","","","each",6,"0.12215439454470313%","0",4,"0.11129660545353366%","impact",4,"0.16176805650489862%","subjects",8,"0.1971821409363728%","spirit",14,"0.07020359041219536%","one",14,"0.16586489087350156%","cognitive",6,"0.1523695891219171%","telehealth",12,"0.055331305331305335%","application",5,"0.0848777867311308%"
"include",3,"0.20380434782608695%","methods",8,"0.12253364930787054%","update",1,"0.423728813559322%","","","","impairment",6,"0.3926368994299427%","05",4,"0.11129660545353366%","normal",4,"0.15037593984962405%","two",8,"0.1600975855801572%","who",13,"0.16765290216990122%","there",14,"0.14775353403632804%","primary",6,"0.2428693421810601%","change",12,"0.07245484247258743%","evaluation",5,"0.1437013161428955%"
"malmö",3,"0.20380434782608695%","vascular",8,"0.2987613573797348%","allocation",1,"0.423728813559322%","","","","people",6,"0.3605413039332016%","time",4,"0.26076993830916423%","scan",4,"0.15037593984962405%","mri",8,"0.2003120813807547%","safety",13,"0.322340394983422%","compared",14,"0.1936728177353911%","week",6,"0.2728265081782201%","training",12,"0.042138131344681605%","3",5,"0.20368600090423303%"
"10",3,"0.20380434782608695%","increased",8,"0.11972816508129303%","on",1,"0.423728813559322%","","","","anesthesia",6,"0.29296875%","than",4,"0.16782114281264426%","major",4,"0.22969752580590816%","hypothesis",8,"0.1373937042914705%","estimates",13,"0.0768112755194822%","patient",14,"0.16909480560103946%","up",6,"0.1645794952290403%","brain",12,"0.2097192815551193%","effect",5,"0.05707762557077626%"
"repeated",3,"0.20380434782608695%","aim",8,"0.20924476123051391%","basis",1,"0.423728813559322%","","","","promotion",6,"0.20491803278688525%","current",4,"0.10256256690897385%","decline",4,"0.23616871784411053%","60",8,"0.17840353655219277%","early",12,"0.12599878393308953%","caregiver",14,"0.11348313516793825%","potential",6,"0.12869638568112357%","experience",11,"0.06765111211279053%","expected",5,"0.08706996795144502%"
"how",3,"0.20380434782608695%","3",8,"0.16448646315590348%","primary",1,"0.423728813559322%","","","","biomarkers",5,"0.21427442115550038%","they",4,"0.10256256690897385%","cr",4,"0.17316017316017315%","fam-ffc",8,"0.09291521486643438%","receive",12,"0.24840747789544004%","find",14,"0.06882052413371784%","which",6,"0.1373036184752163%","specific",11,"0.14474446811560399%","experimental",5,"0.05707762557077626%"
"develop",3,"0.20380434782608695%","have",8,"0.43579359181954314%","endpoint",1,"0.423728813559322%","","","","design",5,"0.2573672911787666%","stimulation",4,"0.09965122072745392%","tdcs",4,"0.17316017316017315%","functional",8,"0.12339210395326294%","control",12,"0.17605308332577677%","risk",14,"0.07327321692900302%","cognition",6,"0.1637262494549306%","depression",11,"0.04641987757431528%","tms-eeg",5,"0.05707762557077626%"
"elderly",3,"0.20380434782608695%","between",8,"0.20877718052608435%","any",1,"0.423728813559322%","","","","undergo",5,"0.07646130741453208%","can",4,"0.09965122072745392%","living",4,"0.2991772625280479%","severity",8,"0.11356473055115335%","diagnosis",12,"0.09973592226558675%","mild",13,"0.2969184864581097%","care",6,"0.15118617803594234%","we",11,"0.04907504907504908%","investigators",5,"0.2581251678753693%"
"people",3,"0.20380434782608695%","1",8,"0.11926058437686345%","participant",1,"0.423728813559322%","","","","neuropsychological",5,"0.21195705537693685%","population",4,"0.09965122072745392%","over",3,"0.3731863997383818%","these",8,"0.12778415290918468%","adults",12,"0.21016493698372124%","population",13,"0.07756184153456061%","ds",6,"0.09128251939753537%","determine",10,"0.3101248677382179%","real",5,"0.05707762557077626%"
"validate",2,"0.2717391304347826%","method",7,"0.10762607626076261%","who",1,"0.423728813559322%","","","","implantation",5,"0.03282563025210084%","one",4,"0.3202058218497948%","only",3,"0.3295148770305735%","dysfunction",8,"0.10562585355081704%","activity",12,"0.1070194295983214%","all",13,"0.14752817039268035%","examine",5,"0.1465105664026396%","objective",10,"0.15782022850732688%","they",5,"0.1426702902721541%"
"investigators",2,"0.20380434782608695%","lower",7,"0.10622333414747386%","completes",1,"0.423728813559322%","","","","months",5,"0.12009698457696331%","both",4,"0.1619984504496044%","evaluate",3,"0.18640145848915482%","independent",8,"0.12044452948382253%","whether",12,"0.1745729808393101%","2",13,"0.11761134685654928%","stimulation",5,"0.17129153819801302%","aim",10,"0.12841307331489865%","symptoms",5,"0.19607843137254902%"
"use",2,"0.20380434782608695%","means",7,"0.10762607626076261%","42",1,"0.423728813559322%","","","","years",5,"0.20325030426327156%","who",4,"0.236999619640629%","radioactive",3,"0.16741071428571427%","goal",7,"0.1758011680850431%","well",12,"0.11796199408396157%","placebo",13,"0.29207562557921757%","20",5,"0.16192901933998496%","these",10,"0.09531135866296409%","acceptability",5,"0.20046279381317747%"
"longitudinal",2,"0.20380434782608695%","different",7,"0.18283063265415261%","week",1,"0.423728813559322%","","","","once",5,"0.03282563025210084%","sessions",4,"0.09965122072745392%","scans",3,"0.14920112781954886%","determine",7,"0.1678765708170864%","benefit",11,"0.19473532056236492%","treatment",13,"0.23904642249442504%","age",5,"0.11195479049342398%","physical",10,"0.14431412335084948%","minnesota",5,"0.4901960784313726%"
"investigate",2,"0.20380434782608695%","hypothesis",7,"0.10528817273861468%","79",1,"0.423728813559322%","","","","early",5,"0.1522735804661351%","every",4,"0.1411394779625891%","protein",3,"0.13021640764281836%","cognition",7,"0.17281493394744502%","we",11,"0.13382201843661795%","waiver",13,"0.03398870529177996%","assessments",5,"0.24747848980388415%","may",10,"0.1394052688206565%","ad",4,"0.3038102101277696%"
"selected",2,"0.2717391304347826%","6",7,"0.239563066962446%","discontinues",1,"0.423728813559322%","","","","proposed",5,"0.36390248151425925%","months",4,"0.19551136240549383%","if",3,"0.16741071428571427%","vs",7,"0.2218054255040991%","evaluate",11,"0.33502853348944506%","research",12,"0.23886934026209516%","active",5,"0.11003060510687966%","but",10,"0.09666262173410743%","but",4,"0.24382552536643204%"
"basis",2,"0.2717391304347826%","verbal",7,"0.10762607626076261%","eligible",1,"0.423728813559322%","","","","task",5,"0.03282563025210084%","done",4,"0.09965122072745392%","biomarkers",3,"0.13021640764281836%","control",7,"0.15352365269414464%","primary",11,"0.1809176732355475%","effects",12,"0.22472035767054205%","drug",5,"0.273952409690708%","use",10,"0.08081443883879645%","enrolled",4,"0.44198895027624313%"
"examine",2,"0.2717391304347826%","memory",7,"0.10575575344304428%","participate",1,"0.423728813559322%","","","","plaque",5,"0.12241435035552684%","observational",4,"0.31997613411089937%","mri",3,"0.14708609082610677%","both",7,"0.15755642906295728%","impact",11,"0.07843921820760319%","people",12,"0.1720206364976232%","donanemab",5,"0.3215303215303215%","life",10,"0.15066026163796886%","weeks",4,"0.37070739898169214%"
"whether",2,"0.2717391304347826%","well",7,"0.22712135002433348%","provided",1,"0.423728813559322%","","","","e",5,"0.03282563025210084%","amyloid",4,"0.31997613411089937%","one",3,"0.1366875996810207%","posiphen",7,"0.21645021645021645%","symptoms",11,"0.09082849787782356%","evaluate",12,"0.3994295959015234%","doses",5,"0.12375345428331132%","trial",10,"0.22115965453595102%","memory",4,"0.045662100456621%"
"measured",2,"0.2717391304347826%","mean",7,"0.10435301132975551%","they",1,"0.423728813559322%","","","","all",5,"0.07508862920168068%","learn",4,"0.2656042496679947%","asked",3,"0.16741071428571427%","fluid",7,"0.18984208259516475%","effect",11,"0.2422822360012956%","group",12,"0.17178703444865182%","matching",5,"0.11027006821792355%","including",10,"0.04298415985288327%","place",4,"0.10126242277733011%"
"x-ray",2,"0.2717391304347826%","name",7,"0.6340579710144928%","meet",1,"0.423728813559322%","","","","procedures",5,"0.1173516281512605%","individuals",4,"0.2656042496679947%","current",3,"0.14238365800865802%","also",7,"0.18461019752261132%","associated",11,"0.10029644773608902%","e",12,"0.05681057899050327%","first",5,"0.14852661538559836%","mechanisms",10,"0.04351536244544733%","cortex",4,"0.045662100456621%"
"computed",2,"0.2717391304347826%","its",6,"0.31739701098496553%","inclusion",1,"0.423728813559322%","","","","into",5,"0.07508862920168068%","aβ",4,"0.2656042496679947%","may",3,"0.1390388160897451%","effect",7,"0.13862196784692127%","such",11,"0.09659719414806582%","over",12,"0.10409992050813978%","purpose",5,"0.12011161630756043%","phase",9,"0.15937154000433001%","rest",4,"0.10126242277733011%"
